Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
0 - Fetch homepage links,4,118,3,250,113.11,0.000%,7.61905,3.01,1.24,404.0
1 - Get all notes,400,147,1,429,60.51,0.000%,2.17057,9.13,0.39,4305.0
1 - Get creator (/notes/1/creator),400,34,0,286,49.12,0.000%,2.17362,1.20,0.39,565.0
1 - Get creator (/notes/2/creator),400,49,0,289,57.16,0.000%,2.17377,1.14,0.39,536.0
1 - Get creator (/notes/3/creator),400,49,0,286,54.75,0.000%,2.17292,1.22,0.39,576.0
1 - Get creator (/notes/4/creator),400,45,0,316,56.16,0.000%,2.17294,1.18,0.39,555.0
1 - Get creator (/notes/5/creator),400,46,0,283,56.46,0.000%,2.17267,1.18,0.39,555.0
1 - Get creator (/notes/6/creator),400,46,0,329,53.93,0.000%,2.17271,1.18,0.39,555.0
1 - Get creator (/notes/7/creator),400,44,0,349,54.80,0.000%,2.17244,1.22,0.39,576.0
1 - Get creator (/notes/8/creator),400,45,0,341,53.47,0.000%,2.17218,1.22,0.39,576.0
1 - Get creator (/notes/9/creator),400,44,0,239,52.95,0.000%,2.17221,1.14,0.39,536.0
1 - Get creator (/notes/10/creator),400,45,0,555,54.74,0.000%,2.17101,1.20,0.39,566.0
2 - Get first note,400,55,0,333,62.86,0.000%,2.17106,1.66,0.37,784.0
3.1 - Get creator of note 1,400,46,0,298,53.72,0.000%,2.17093,1.20,0.39,565.0
3.1 - Get edited notes of creator,400,94,1,296,58.14,0.000%,2.17001,4.92,0.40,2323.0
3.1 - Get keywords (/notes/1/keywords),400,45,0,275,51.92,0.000%,2.17030,1.27,0.39,600.0
3.1 - Get keywords (/notes/2/keywords),400,36,0,264,47.94,0.000%,2.16887,0.69,0.39,325.0
3.1 - Get keywords (/notes/10/keywords),400,47,0,289,55.05,0.000%,2.16893,1.48,0.39,700.0
3.2 - Get contributors of note 1,400,58,0,299,61.36,0.000%,2.16899,1.84,0.40,867.0
3.2 - Get edited notes of creator (/authors/3/editedNotes),400,138,1,450,62.31,0.000%,2.16790,8.28,0.40,3909.0
3.2 - Get keywords (/notes/3/keywords),400,26,0,266,43.89,0.000%,2.16797,0.89,0.39,422.0
3.2 - Get keywords (/notes/4/keywords),400,46,0,270,54.59,0.000%,2.16748,0.89,0.39,421.0
3.2 - Get keywords (/notes/5/keywords),400,40,0,467,56.85,0.000%,2.16749,0.89,0.39,421.0
3.2 - Get keywords (/notes/6/keywords),400,41,0,284,51.06,0.000%,2.16763,1.09,0.39,513.0
3.2 - Get keywords (/notes/9/keywords),400,44,0,466,61.49,0.000%,2.16735,1.09,0.39,517.0
3.2 - Get edited notes of creator (/authors/4/editedNotes),400,131,1,325,60.20,0.000%,2.16652,7.30,0.40,3452.0
3.2 - Get keywords (/notes/7/keywords),400,30,0,349,47.90,0.000%,2.16660,0.88,0.39,418.0
4 - Get first note,400,54,0,247,55.10,0.000%,2.16662,1.66,0.37,784.0
4 - Add keyword,400,46,0,334,54.60,0.000%,2.16664,0.75,0.78,353.0
5 - Get keyword search link,400,29,0,254,49.65,0.000%,2.16808,0.64,0.37,302.0
5 - Search for keywrod,400,96,1,398,61.54,0.000%,2.16792,4.60,0.43,2173.0
5 - Delete note (/notes/4),400,30,0,243,42.16,0.000%,2.16820,0.33,0.50,155.0
5 - Delete note (/notes/5),400,28,0,217,42.86,0.000%,2.16860,0.33,0.50,155.0
5 - Delete note (/notes/6),400,26,0,186,36.49,0.000%,2.16870,0.33,0.50,155.0
5 - Delete note (/notes/7),400,30,0,253,46.59,0.000%,2.16895,0.33,0.50,155.0
TOTAL,13604,53,0,555,62.03,0.000%,73.34088,63.96,14.01,893.1
