Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
0 - Fetch homepage links,4,106,4,235,99.83,0.000%,6.99301,2.76,1.13,404.0
1 - Get all notes,400,220,18,511,83.63,0.000%,1.27217,5.35,0.23,4305.0
1 - Get creator (/notes/1/creator),400,83,0,332,67.45,0.000%,1.27308,0.70,0.23,565.0
1 - Get creator (/notes/2/creator),400,83,1,352,65.46,0.000%,1.27303,0.67,0.23,536.0
1 - Get creator (/notes/3/creator),400,85,0,536,72.64,0.000%,1.27272,0.72,0.23,576.0
1 - Get creator (/notes/4/creator),400,76,1,371,62.76,0.000%,1.27261,0.69,0.23,555.0
1 - Get creator (/notes/5/creator),400,87,1,364,70.11,0.000%,1.27251,0.69,0.23,555.0
1 - Get creator (/notes/6/creator),400,81,0,399,66.27,0.000%,1.27223,0.69,0.23,555.0
1 - Get creator (/notes/7/creator),400,81,1,452,68.94,0.000%,1.27212,0.72,0.23,576.0
1 - Get creator (/notes/8/creator),400,85,0,466,74.61,0.000%,1.27201,0.72,0.23,576.0
1 - Get creator (/notes/9/creator),400,76,1,380,67.87,0.000%,1.27205,0.67,0.23,536.0
1 - Get creator (/notes/10/creator),400,83,1,473,69.53,0.000%,1.27189,0.70,0.23,566.0
2 - Get first note,400,84,1,360,63.38,0.000%,1.27191,0.97,0.21,784.0
3.1 - Get creator of note 1,400,90,1,600,81.20,0.000%,1.27167,0.70,0.23,565.0
3.1 - Get edited notes of creator,400,148,1,424,69.14,0.000%,1.27128,2.88,0.23,2323.0
3.1 - Get keywords (/notes/1/keywords),400,71,0,410,67.22,0.000%,1.27135,0.74,0.23,600.0
3.1 - Get keywords (/notes/2/keywords),400,72,1,464,67.86,0.000%,1.27141,0.40,0.23,325.0
3.1 - Get keywords (/notes/10/keywords),400,90,1,382,67.95,0.000%,1.27128,0.87,0.23,700.0
3.2 - Get contributors of note 1,400,96,1,486,68.94,0.000%,1.27132,1.08,0.23,867.0
3.2 - Get edited notes of creator (/authors/3/editedNotes),400,193,3,443,72.00,0.000%,1.27054,4.85,0.23,3909.0
3.2 - Get keywords (/notes/3/keywords),400,70,0,461,65.51,0.000%,1.27062,0.52,0.23,422.0
3.2 - Get keywords (/notes/4/keywords),400,81,1,493,77.18,0.000%,1.27086,0.52,0.23,421.0
3.2 - Get keywords (/notes/5/keywords),400,70,0,389,69.01,0.000%,1.27077,0.52,0.23,421.0
3.2 - Get keywords (/notes/6/keywords),400,89,0,485,79.73,0.000%,1.27081,0.64,0.23,513.0
3.2 - Get keywords (/notes/9/keywords),400,80,1,417,71.08,0.000%,1.27057,0.64,0.23,517.0
3.2 - Get edited notes of creator (/authors/4/editedNotes),400,185,2,425,70.81,0.000%,1.27068,4.28,0.23,3452.0
3.2 - Get keywords (/notes/7/keywords),400,80,0,424,71.99,0.000%,1.27169,0.52,0.23,418.0
4 - Get first note,400,100,0,447,70.11,0.000%,1.27205,0.97,0.22,784.0
4 - Add keyword,400,75,1,559,66.64,0.000%,1.27205,0.44,0.46,353.0
5 - Get keyword search link,400,48,0,397,64.51,0.000%,1.27318,0.38,0.22,302.0
5 - Search for keywrod,400,153,46,456,66.54,0.000%,1.27324,2.70,0.25,2173.0
5 - Delete note (/notes/4),400,37,0,238,44.20,0.000%,1.27394,0.19,0.29,155.0
5 - Delete note (/notes/5),400,57,0,387,62.04,0.000%,1.27431,0.19,0.29,155.0
5 - Delete note (/notes/6),400,56,0,301,61.15,0.000%,1.27435,0.19,0.29,155.0
5 - Delete note (/notes/7),400,49,0,354,60.32,0.000%,1.27438,0.19,0.29,155.0
TOTAL,13604,92,0,600,79.73,0.000%,43.07094,37.56,8.23,893.1
