Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
0 - Fetch homepage links,4,113,5,253,109.86,0.000%,7.00525,2.36,1.44,345.0
1 - Get all notes,400,12,0,108,18.00,0.000%,2.14179,1.29,0.45,616.0
1 - Get all notes options,400,13,0,208,19.98,0.000%,2.14307,0.95,0.46,456.0
1 - Get note (1),400,22,0,136,21.06,0.000%,2.14976,1.28,0.45,612.0
1 - Get note options (1),400,21,0,99,20.38,0.000%,2.15065,1.58,0.46,750.0
1 - Get creator (1),400,21,0,274,22.76,0.000%,2.15222,1.05,0.46,498.0
1 - Get note (2),400,20,0,75,18.30,0.000%,2.15270,1.36,0.45,649.0
1 - Get note options (2),400,21,0,146,22.10,0.000%,2.15274,1.58,0.46,750.0
1 - Get creator (2),400,20,0,205,22.69,0.000%,2.15362,1.16,0.46,550.0
1 - Get note (3),400,21,0,177,21.08,0.000%,2.15415,1.33,0.45,634.0
1 - Get note options (3),400,21,0,94,21.22,0.000%,2.15622,1.58,0.46,750.0
1 - Get creator (3),400,19,0,201,19.86,0.000%,2.15673,1.25,0.46,592.0
1 - Get note (4),400,19,0,84,19.07,0.000%,2.15751,0.94,0.46,447.0
1 - Get note options (4),400,22,0,101,21.35,0.000%,2.15754,1.58,0.46,750.0
1 - Get creator (4),400,18,0,94,18.36,0.000%,2.15768,1.23,0.46,586.0
1 - Get note (5),400,18,0,88,18.34,0.000%,2.15885,0.87,0.46,411.0
1 - Get note options (5),400,20,0,208,23.34,0.000%,2.15846,1.58,0.46,750.0
1 - Get note (6),400,21,0,98,19.52,0.000%,2.15993,1.16,0.46,549.0
1 - Get note options (6),400,19,0,94,20.49,0.000%,2.16006,1.58,0.46,750.0
1 - Get note (7),400,22,0,366,25.63,0.000%,2.16104,1.05,0.46,497.0
1 - Get note options (7),400,20,0,119,20.32,0.000%,2.16071,1.58,0.46,750.0
1 - Get note (8),400,22,0,130,19.51,0.000%,2.16160,1.04,0.46,494.0
1 - Get note options (8),400,19,0,92,20.23,0.000%,2.16164,1.58,0.46,750.0
1 - Get note (9),400,32,0,298,26.18,0.000%,2.16179,2.20,0.46,1044.0
1 - Get note options (9),400,21,0,125,20.02,0.000%,2.16183,1.58,0.46,750.0
1 - Get note (10),400,26,0,89,20.49,0.000%,2.16254,1.82,0.46,861.0
1 - Get note options (10),400,24,0,95,19.89,0.000%,2.16230,1.58,0.47,750.0
2 - Get first note,400,22,0,86,18.75,0.000%,2.16303,1.29,0.45,612.0
3 - Get first note options,400,18,0,118,21.52,0.000%,2.16306,1.58,0.46,750.0
3.1 - Get creator,400,21,0,160,19.07,0.000%,2.16365,1.05,0.46,498.0
3.1 - Get creator options,400,12,0,63,16.33,0.000%,2.16326,0.76,0.47,360.0
3.1 - Get edited note options (1),400,24,0,86,19.92,0.000%,2.16400,1.58,0.46,750.0
3.1 - Get keywords (1),400,13,0,277,21.49,0.000%,2.18050,0.59,0.48,278.0
3.1 - Get edited note options (2),400,23,0,90,19.04,0.000%,2.18091,1.60,0.47,750.0
3.1 - Get keywords (2),400,11,0,163,18.88,0.000%,2.18095,0.53,0.48,247.0
3.1 - Get edited note options (10),400,23,0,91,19.89,0.000%,2.18135,1.60,0.47,750.0
3.1 - Get keywords (10),400,11,0,70,16.80,0.000%,2.18101,0.63,0.48,295.0
3.2 - Get contributor (3),400,23,0,372,28.19,0.000%,2.18154,1.25,0.46,586.0
3.2 - Get contributor options (3),400,12,0,206,19.70,0.000%,2.18155,0.77,0.47,360.0
3.2 - Get edited note options (1),800,25,0,338,23.27,0.000%,4.36257,3.20,0.94,750.0
3.2 - Get edited note options (3),400,26,0,293,24.79,0.000%,2.18246,1.60,0.47,750.0
3.2 - Get keywords (3),400,16,0,98,18.91,0.000%,2.18299,0.56,0.48,263.0
3.2 - Get edited note options (4),400,24,0,101,19.77,0.000%,2.18345,1.60,0.47,750.0
3.2 - Get keywords (4),400,18,0,311,24.00,0.000%,2.18367,0.56,0.48,262.0
3.2 - Get edited note options (5),400,24,0,98,21.24,0.000%,2.18388,1.60,0.47,750.0
3.2 - Get keywords (5),400,17,0,138,19.82,0.000%,2.18417,0.56,0.48,262.0
3.2 - Get edited note options (6),800,25,0,104,20.92,0.000%,4.36719,3.20,0.94,750.0
3.2 - Get keywords (6),400,17,0,84,18.60,0.000%,2.18446,0.59,0.48,276.0
3.2 - Get edited note options (9),800,24,0,102,20.42,0.000%,4.36750,3.20,0.94,750.0
3.2 - Get keywords (9),400,18,0,374,28.18,0.000%,2.18508,0.59,0.48,276.0
3.2 - Get contributor (4),400,21,0,88,20.70,0.000%,2.18577,1.17,0.47,550.0
3.2 - Get contributor options (4),400,14,0,64,17.79,0.000%,2.18583,0.77,0.47,360.0
3.2 - Get edited note options (2),400,27,0,140,21.88,0.000%,2.18645,1.60,0.47,750.0
3.2 - Get edited note options (7),400,25,0,228,23.37,0.000%,2.18830,1.60,0.47,750.0
3.2 - Get keywords (7),400,15,0,85,17.71,0.000%,2.18858,0.55,0.48,259.0
4 - Get first note options,400,25,0,88,18.78,0.000%,2.18890,1.60,0.47,750.0
4 - Get keywords options,400,20,0,295,24.56,0.000%,2.18992,0.65,0.49,302.0
4 - Add keyword,400,16,0,67,17.80,0.000%,2.19071,0.52,0.76,244.0
5 - Get search options,400,16,0,94,19.20,0.000%,2.19144,1.56,0.48,728.0
5 - Get search results,400,17,0,77,17.21,0.000%,2.19200,0.71,0.54,333.0
5 - Get search result options,400,13,0,313,22.75,0.000%,2.19232,0.98,0.54,456.0
5 - Get note options (4),400,27,0,295,24.94,0.000%,2.19289,1.61,0.47,750.0
5 - Delete note (4),400,17,0,77,17.06,0.000%,2.19334,0.17,0.65,81.0
5 - Get note options (5),400,23,0,309,25.80,0.000%,2.19379,1.61,0.47,750.0
5 - Delete note (5),400,17,0,100,18.01,0.000%,2.19397,0.17,0.65,81.0
5 - Get note options (6),400,23,0,308,24.92,0.000%,2.19425,1.61,0.47,750.0
5 - Delete note (6),400,17,0,402,26.74,0.000%,2.19437,0.17,0.65,81.0
5 - Get note options (7),400,21,0,163,21.59,0.000%,2.19473,1.61,0.47,750.0
5 - Delete note (7),400,16,0,135,18.26,0.000%,2.19493,0.17,0.65,81.0
TOTAL,28404,20,0,402,21.56,0.000%,151.37659,83.54,33.62,565.1
