Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
3.1 - Get edited note options (1),400,52,0,153,25.84,0.000%,1.18900,0.87,0.26,750.0
3.1 - Get keywords (1),400,32,0,125,23.60,0.000%,1.19424,0.32,0.26,278.0
3.1 - Get edited note options (2),400,50,0,156,27.08,0.000%,1.19419,0.87,0.26,750.0
3.1 - Get keywords (2),400,34,0,140,23.84,0.000%,1.19420,0.29,0.26,247.0
3.1 - Get edited note options (10),400,50,0,136,24.98,0.000%,1.19433,0.87,0.26,750.0
3.1 - Get keywords (10),400,34,0,127,24.90,0.000%,1.19425,0.34,0.26,295.0
3.2 - Get contributor (3),400,44,0,154,26.66,0.000%,1.19453,0.68,0.25,586.0
3.2 - Get contributor options (3),400,34,0,156,24.10,0.000%,1.19445,0.42,0.26,360.0
3.2 - Get edited note options (1),800,47,0,180,24.86,0.000%,2.38755,1.75,0.51,750.0
3.2 - Get edited note options (3),400,53,0,167,26.78,0.000%,1.19476,0.88,0.26,750.0
3.2 - Get keywords (3),400,32,0,120,24.61,0.000%,1.19489,0.31,0.26,263.0
3.2 - Get edited note options (4),400,49,1,150,24.63,0.000%,1.19494,0.88,0.26,750.0
3.2 - Get keywords (4),400,31,0,140,23.89,0.000%,1.19495,0.31,0.26,262.0
3.2 - Get edited note options (5),400,50,0,153,25.62,0.000%,1.19580,0.88,0.26,750.0
3.2 - Get keywords (5),400,30,0,118,22.22,0.000%,1.19581,0.31,0.26,262.0
3.2 - Get edited note options (6),800,50,0,129,24.88,0.000%,2.39066,1.75,0.51,750.0
3.2 - Get keywords (6),400,32,0,164,23.76,0.000%,1.19594,0.32,0.26,276.0
3.2 - Get edited note options (9),800,49,0,169,25.66,0.000%,2.39050,1.75,0.51,750.0
3.2 - Get keywords (9),400,32,0,149,22.91,0.000%,1.19601,0.32,0.26,276.0
3.2 - Get contributor (4),400,41,0,119,24.30,0.000%,1.19603,0.64,0.25,550.0
3.2 - Get contributor options (4),400,34,0,168,25.44,0.000%,1.19604,0.42,0.26,360.0
3.2 - Get edited note options (2),400,51,0,147,23.91,0.000%,1.19606,0.88,0.26,750.0
3.2 - Get edited note options (7),400,49,0,151,25.07,0.000%,1.19627,0.88,0.26,750.0
3.2 - Get keywords (7),400,30,0,154,21.81,0.000%,1.19644,0.30,0.26,259.0
4 - Get first note options,400,46,0,136,24.72,0.000%,1.19654,0.88,0.26,750.0
4 - Get keywords options,400,32,0,123,24.91,0.000%,1.19672,0.35,0.27,302.0
4 - Add keyword,400,36,0,149,26.50,0.000%,1.19688,0.29,0.42,244.0
5 - Get search options,400,42,0,139,25.80,0.000%,1.19711,0.85,0.26,728.0
5 - Get search results,400,32,0,133,23.73,0.000%,1.19711,0.39,0.29,333.0
5 - Get search result options,400,31,0,125,24.54,0.000%,1.19718,0.53,0.30,456.0
5 - Get note options (4),400,49,0,166,26.14,0.000%,1.19724,0.88,0.26,750.0
5 - Delete note (4),400,29,0,122,24.03,0.000%,1.19730,0.09,0.35,81.0
5 - Get note options (5),400,46,0,155,26.50,0.000%,1.19741,0.88,0.26,750.0
5 - Delete note (5),400,30,0,139,23.08,0.000%,1.19748,0.09,0.35,81.0
5 - Get note options (6),400,47,0,169,26.94,0.000%,1.19756,0.88,0.26,750.0
5 - Delete note (6),400,31,0,196,24.97,0.000%,1.19759,0.09,0.35,81.0
5 - Get note options (7),400,47,0,150,26.27,0.000%,1.19764,0.88,0.26,750.0
5 - Delete note (7),400,30,0,106,22.48,0.000%,1.19770,0.09,0.35,81.0
TOTAL,28404,43,0,397,26.83,0.000%,83.46925,46.07,18.54,565.1
