Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
0 - Fetch homepage links,4,97,4,235,97.24,0.000%,6.84932,2.31,1.41,345.0
1 - Get all notes,400,34,0,125,27.26,0.000%,1.18432,0.71,0.25,616.0
1 - Get all notes options,400,36,0,126,25.03,0.000%,1.18428,0.53,0.25,456.0
1 - Get note (1),400,44,0,146,24.40,0.000%,1.18724,0.71,0.25,612.0
1 - Get note options (1),400,48,0,169,24.91,0.000%,1.18718,0.87,0.26,750.0
1 - Get creator (1),400,37,0,152,24.34,0.000%,1.18742,0.58,0.25,498.0
1 - Get note (2),400,49,0,370,29.79,0.000%,1.18745,0.75,0.25,649.0
1 - Get note options (2),400,50,0,173,27.40,0.000%,1.18714,0.87,0.26,750.0
1 - Get creator (2),400,41,0,139,26.33,0.000%,1.18709,0.64,0.25,550.0
1 - Get note (3),400,48,0,152,25.88,0.000%,1.18722,0.74,0.25,634.0
1 - Get note options (3),400,50,0,156,26.07,0.000%,1.18696,0.87,0.26,750.0
1 - Get creator (3),400,42,0,125,25.68,0.000%,1.18675,0.69,0.25,592.0
1 - Get note (4),400,37,0,120,24.89,0.000%,1.18690,0.52,0.25,447.0
1 - Get note options (4),400,50,0,188,26.14,0.000%,1.18661,0.87,0.25,750.0
1 - Get creator (4),400,44,0,370,31.37,0.000%,1.18679,0.68,0.25,586.0
1 - Get note (5),400,38,0,146,27.58,0.000%,1.18669,0.48,0.25,411.0
1 - Get note options (5),400,48,0,184,27.45,0.000%,1.18658,0.87,0.25,750.0
1 - Get note (6),400,45,0,150,28.29,0.000%,1.18687,0.64,0.25,549.0
1 - Get note options (6),400,48,0,189,26.71,0.000%,1.18662,0.87,0.25,750.0
1 - Get note (7),400,45,0,138,28.49,0.000%,1.18730,0.58,0.25,497.0
1 - Get note options (7),400,47,0,140,24.42,0.000%,1.18724,0.87,0.26,750.0
1 - Get note (8),400,43,0,149,26.27,0.000%,1.18734,0.57,0.25,494.0
1 - Get note options (8),400,50,0,150,24.23,0.000%,1.18724,0.87,0.26,750.0
1 - Get note (9),400,67,1,199,22.22,0.000%,1.18774,1.21,0.25,1044.0
1 - Get note options (9),400,44,0,157,25.45,0.000%,1.18769,0.87,0.26,750.0
1 - Get note (10),400,60,0,335,26.37,0.000%,1.18773,1.00,0.25,861.0
1 - Get note options (10),400,46,0,125,25.70,0.000%,1.18763,0.87,0.26,750.0
2 - Get first note,400,47,0,397,31.08,0.000%,1.18838,0.71,0.25,612.0
3 - Get first note options,400,47,0,128,25.31,0.000%,1.18832,0.87,0.26,750.0
3.1 - Get creator,400,41,0,136,25.50,0.000%,1.18865,0.58,0.25,498.0
3.1 - Get creator options,400,33,0,157,24.51,0.000%,1.18866,0.42,0.26,360.0
